name,tag,symbol,currency,status
Fusion,fusion,FSN,USD,available
Groestlcoin,groestlcoin,GRS,USD,available
Quantstamp,quantstamp,QSP,USD,available
Cindicator,cindicator,CND,USD,available
FIO Protocol,fio-protocol,FIO,USD,available
Cortex,cortex,CTXC,USD,available
Ripio Credit Network,ripio-credit-network,RCN,USD,available
Cocos-BCX,cocos-bcx,COCOS,USD,available
Sport and Leisure,sport-and-leisure,SNL,USD,available
Measurable Data Token,measurable-data-token,MDT,USD,available
Einsteinium,einsteinium,EMC2,USD,available
v.systems,v-systems,VSYS,USD,available
Aeternity,aeternity,AE,USD,available
GameCredits,gamecredits,GAME,USD,available
Aurora,aurora,AOA,USD,available
Zap,zap,ZAP,USD,available
GXChain,gxchain,GXC,USD,available
VITE,vite,VITE,USD,available
Enzyme Finance,melon,MLN,USD,available
LockTrip,lockchain,LOC,USD,available
Lympo,lympo,LYM,USD,available
STASIS EURO,stasis-euro,EURS,USD,available
Dock,dock,DOCK,USD,available
Kleros,kleros,PNK,USD,available
Nebulas,nebulas-token,NAS,USD,available
GoChain,gochain,GO,USD,available
MCO,crypto-com,MCO,USD,available
Navcoin,nav-coin,NAV,USD,available
Propy,propy,PRO,USD,available
Skycoin,skycoin,SKY,USD,available
CasinoCoin,casinocoin,CSC,USD,available
Dentacoin,dentacoin,DCN,USD,available
HyperCash,hypercash,HC,USD,available
BTU Protocol,btu-protocol,BTU,USD,available
DMarket,dmarket,DMT,USD,available
Mithril,mithril,MITH,USD,available
Nxt,nxt,NXT,USD,available
Phantasma,phantasma,SOUL,USD,available
LATOKEN,latoken,LA,USD,available
0Chain,0chain,ZCN,USD,available
Steem Dollars,steem-dollars,SBD,USD,available
Wirex Token,wirex-token,WXT,USD,available
Flexacoin,flexacoin,FXC,USD,available
Sentivate,sentivate,SNTVT,USD,available
All Sports,all-sports,SOC,USD,available
Neblio,neblio,NEBL,USD,available
Apollo Currency,apollo-currency,APL,USD,available
Crypterium,crpt,CRPT,USD,available
Grin,grin,GRIN,USD,available
Project Pai,project-pai,PAI,USD,available
Presearch,presearch,PRE,USD,available
Vertcoin,vertcoin,VTC,USD,available
Wabi,wabi,WABI,USD,available
Veritaseum,veritaseum,VERI,USD,available
Nucleus Vision,nucleus-vision,NCASH,USD,available
Ambrosus,amber,AMB,USD,available
TenX,tenx,PAY,USD,available
Raiden Network Token,raiden-network-token,RDN,USD,available
TokenClub,tokenclub,TCT,USD,available
BnkToTheFuture,bnktothefuture,BFT,USD,available
Bankera,bankera,BNK,USD,available
DigixDAO,digixdao,DGD,USD,available
Dovu,dovu,DOV,USD,available
#MetaHash,metahash,MHC,USD,available
TE-FOOD,te-food,TONE,USD,available
Gifto,gifto,GTO,USD,available
PCHAIN,pchain,PI,USD,available
Circuits of Value,circuits-of-value,COVAL,USD,available
Credits,credits,CS,USD,available
AppCoins,appcoins,APPC,USD,available
Bread,bread,BRD,USD,available
QASH,qash,QASH,USD,available
Metronome,metronome,MET,USD,available
Genesis Vision,genesis-vision,GVT,USD,available
OAX,oax,OAX,USD,available
DeepBrain Chain,deepbrain-chain,DBC,USD,available
Loki,loki,LOKI,USD,available
High Performance Blockchain,high-performance-blockchain,HPB,USD,available
BABB,babb,BAX,USD,available
Dero,dero,DERO,USD,available
POA,poa,POA,USD,available
SIRIN LABS Token,sirin-labs-token,SRN,USD,available
Digitex Futures,digitex-futures,DGTX,USD,available
QLC Chain,qlink,QLC,USD,available
LGO Token,lgo-token,LGO,USD,available
WePower,wepower,WPR,USD,available
Blox,blox,CDT,USD,available
PumaPay,pumapay,PMA,USD,available
Obyte,obyte,GBYTE,USD,available
Dynamic,dynamic,DYN,USD,available
XYO,xyo,XYO,USD,available
Blocknet,blocknet,BLOCK,USD,available
Buggyra Coin Zero,buggyra-coin-zero,BCZERO,USD,available
Namecoin,namecoin,NMC,USD,available
Moeda Loyalty Points,moeda-loyalty-points,MDA,USD,available
Matrix AI Network,matrix-ai-network,MAN,USD,available
SALT,salt,SALT,USD,available
Quantum Resistant Ledger,quantum-resistant-ledger,QRL,USD,available
Cardstack,cardstack,CARD,USD,available
CyberMiles,cybermiles,CMT,USD,available
TrueChain,truechain,TRUE,USD,available
Egretia,egretia,EGT,USD,available
Metaverse ETP,metaverse,ETP,USD,available
Factom,factom,FCT,USD,available
Maximine Coin,maximine-coin,MXM,USD,available
Hydro Protocol,hydro-protocol,HOT,USD,available
Viacoin,viacoin,VIA,USD,available
Everex,everex,EVX,USD,available
YOYOW,yoyow,YOYOW,USD,available
Viberate,viberate,VIB,USD,available
Tachyon Protocol,tachyon-protocol,IPX,USD,available
Agrello,agrello-delta,DLT,USD,available
MediShares,medishares,MDS,USD,available
Ruff,ruff,RUFF,USD,available
FLO,flo,FLO,USD,available
ProximaX,proximax,XPX,USD,available
Monetha,monetha,MTH,USD,available
Achain,achain,ACT,USD,available
SONM,sonm,SNM,USD,available
SingularDTV,singulardtv,SNGLS,USD,available
DigitalNote,digitalnote,XDN,USD,available
Arcblock,arcblock,ABT,USD,available
PRIZM,prizm,PZM,USD,available
Ubiq,ubiq,UBQ,USD,available
PressOne,pressone,PRS,USD,available
BLOCKv,blockv,VEE,USD,available
B2BX,b2bx,B2B,USD,available
DATA,data,DTA,USD,available
Peercoin,peercoin,PPC,USD,available
IQeon,iqeon,IQN,USD,available
Banano,banano,BAN,USD,available
THEKEY,thekey,TKY,USD,available
eBoost,eboostcoin,EBST,USD,available
Santiment Network Token,santiment,SAN,USD,available
ROOBEE,roobee,ROOBEE,USD,available
Phore,phore,PHR,USD,available
Genaro Network,genaro-network,GNX,USD,available
SmartMesh,smartmesh,SMT,USD,available
Essentia,essentia,ESS,USD,available
PlatonCoin,platoncoin,PLTC,USD,available
Callisto Network,callisto-network,CLO,USD,available
OneLedger,oneledger,OLT,USD,available
Internxt,internxt,INXT,USD,available
Bibox Token,bibox-token,BIX,USD,available
Restart Energy MWAT,restart-energy-mwat,MWAT,USD,available
Stealthcoin,stealthcoin,XST,USD,available
IoT Chain,iot-chain,ITC,USD,available
Seele-N,seele,SEELE,USD,available
SwftCoin,swftcoin,SWFTC,USD,available
Monolith,monolith,TKN,USD,available
Peculium,peculium,PCL,USD,available
Odyssey,odyssey,OCN,USD,available
Time New Bank,time-new-bank,TNB,USD,available
DAOstack,daostack,GEN,USD,available
Pillar,pillar,PLR,USD,available
Covesting,covesting,COV,USD,available
carVertical,carvertical,CV,USD,available
Qubitica,qubitica,QBIT,USD,available
SmartCash,smartcash,SMART,USD,available
Burst,burst,BURST,USD,available
Spectre.ai Dividend Token,spectre-dividend,SXDT,USD,available
Tokenomy,tokenomy,TEN,USD,available
SpaceChain,spacechain,SPC,USD,available
UCA Coin,uca-coin,UCA,USD,available
Particl,particl,PART,USD,available
Mobius,mobius,MOBI,USD,available
Wings,wings,WINGS,USD,available
Content Neutrality Network,content-neutrality-network,CNN,USD,available
eBitcoin,ebtcnew,EBTC,USD,available
Feathercoin,feathercoin,FTC,USD,available
Aeon,aeon,AEON,USD,available
Lightning Bitcoin,lightning-bitcoin,LBTC,USD,available
VIBE,vibe,VIBE,USD,available
Opacity,opacity,OPCT,USD,available
CPChain,cpchain,CPC,USD,available
PotCoin,potcoin,POT,USD,available
Lamden,lamden,TAU,USD,available
Mysterium,mysterium,MYST,USD,available
Gulden,gulden,NLG,USD,available
Skrumble Network,skrumble-network,SKM,USD,available
Credo,credo,CREDO,USD,available
DOC.COM,doc-com,MTC,USD,available
ERC20,erc-20,ERC20,USD,available
EDUCare,educare,EKT,USD,available
Game.com,game,GTC,USD,available
Remme,remme,REM,USD,available
SunContract,suncontract,SNC,USD,available
Cred,libra-credit,LBA,USD,available
INT,int-chain,INT,USD,available
Myriad,myriad,XMY,USD,available
I/O Coin,iocoin,IOC,USD,available
ContentBox,contentbox,BOX,USD,available
LiteDoge,litedoge,LDOGE,USD,available
Ivy,ivy,IVY,USD,available
Cappasity,cappasity,CAPP,USD,available
Litecoin Cash,litecoin-cash,LCC,USD,available
Swarm,swarm-network,SWM,USD,available
DEX,dex,DEX,USD,available
AXPR,axpr-token,AXPR,USD,available
Datum,datum,DAT,USD,available
Investcoin,investcoin,INVC,USD,available
Vexanium,vexanium,VEX,USD,available
CryptoPing,cryptoping,PING,USD,available
DECOIN,decoin,DTEP,USD,available
Crown,crown,CRW,USD,available
Acute Angle Cloud,acute-angle-cloud,AAC,USD,available
ChatCoin,chatcoin,CHAT,USD,available
BitGreen,bitgreen,BITG,USD,available
YEE,yee,YEE,USD,available
Omni,omni,OMNI,USD,available
BlackCoin,blackcoin,BLK,USD,available
ToaCoin,toacoin,TOA,USD,available
EXRNchain,exrnchain,EXRN,USD,available
KickToken,kick-token,KICK,USD,available
Gridcoin,gridcoin,GRC,USD,available
QunQun,qunqun,QUN,USD,available
OKCash,okcash,OK,USD,available
CannabisCoin,cannabiscoin,CANN,USD,available
DAEX,daex,DAX,USD,available
DMM: Governance,dmm-governance,DMG,USD,available
Cube,cube,AUTO,USD,available
Add.xyz,add-xyz,PLT,USD,available
Substratum,substratum,SUB,USD,available
Pinkcoin,pinkcoin,PINK,USD,available
Alphacat,alphacat,ACAT,USD,available
CoTrader,cotrader,COT,USD,available
BitCapitalVendor,bitcapitalvendor,BCV,USD,available
DeepOnion,deeponion,ONION,USD,available
Novacoin,novacoin,NVC,USD,available
Primecoin,primecoin,XPM,USD,available
OneRoot Network,oneroot-network,RNT,USD,available
Energo,energo,TSL,USD,available
Medicalchain,medical-chain,MTN,USD,available
Rialto,rialto,XRL,USD,available
Tierion,tierion,TNT,USD,available
VeriCoin,vericoin,VRC,USD,available
BitcoinZ,bitcoinz,BTCZ,USD,available
Enigma,enigma,ENG,USD,available
MyWish,mywish,WISH,USD,available
Blackmoon,blackmoon,BMC,USD,available
Patientory,patientory,PTOY,USD,available
Breezecoin,breezecoin,BRZE,USD,available
LuckChain,luckchain,BASH,USD,available
Quark,quark,QRK,USD,available
Pascal,pascal,PASC,USD,available
Plair,plair-life,PLA,USD,available
Curecoin,curecoin,CURE,USD,available
MobileGo,mobilego,MGO,USD,available
Denarius,denarius-d,D,USD,available
Dimecoin,dimecoin,DIME,USD,available
IHT Real Estate Protocol,iht-real-estate-protocol,IHT,USD,available
CommerceBlock,commerceblock,CBT,USD,available
NuBits,nubits,USNBT,USD,available
Expanse,expanse,EXP,USD,available
Eternity,eternity,ENT,USD,available
AI Doctor,aidoc,AIDOC,USD,available
HempCoin,hempcoin,THC,USD,available
HiCoin,hicoin,XHI,USD,available
CEEK VR,ceek-vr,CEEK,USD,available
ZClassic,zclassic,ZCL,USD,available
TransferCoin,transfercoin,TX,USD,available
LUXCoin,luxcoin,LUX,USD,available
Rise,rise,RISE,USD,available
Asch,asch,XAS,USD,available
PayPie,paypie,PPP,USD,available
DAPS Coin,daps-coin,DAPS,USD,available
Giga Watt Token,giga-watt-token,WTT,USD,available
Bean Cash,bean-cash,BITB,USD,available
Primas,primas,PST,USD,available
Bismuth,bismuth,BIS,USD,available
LNX Protocol,lnx-protocol,LNX,USD,available
MonetaryUnit,monetaryunit,MUE,USD,available
Sharder,sharder,SS,USD,available
Waves Community Token,waves-community-token,WCT,USD,available
Zero,zero,ZER,USD,available
Bitcoin Private,bitcoin-private,BTCP,USD,available
eosDAC,eosdac,EOSDAC,USD,available
Aventus,aventus,AVT,USD,available
TrueFlip,trueflip,TFL,USD,available
ATLANT,atlant,ATL,USD,available
FujiCoin,fujicoin,FJC,USD,available
BitBoost,bitboost,BBT,USD,available
Banca,banca,BANCA,USD,available
Renewable Electronic Energy Coin,electronic-energy-coin,REEC,USD,available
Xaurum,xaurum,XAUR,USD,available
Hedge,hedge,HDG,USD,available
CoinFi,coinfi,COFI,USD,available
0xBitcoin,0xbtc,0xBTC,USD,available
CloakCoin,cloakcoin,CLOAK,USD,available
XTRABYTES,xtrabytes,XBY,USD,available
EDC Blockchain,edc-blockchain,EDC,USD,available
TrezarCoin,trezarcoin,TZC,USD,available
Capricoin+,capricoin,CPS,USD,available
TraDove B2BCoin,b2bcoin,BBC,USD,available
Humaniq,humaniq,HMQ,USD,available
Bottos,bottos,BTO,USD,available
Maecenas,maecenas,ART,USD,available
Mercury,mercury,MER,USD,available
Lunyr,lunyr,LUN,USD,available
Megacoin,megacoin,MEC,USD,available
GeoCoin,geocoin,GEO,USD,available
FNKOS,fnkos,FNKOS,USD,available
Adshares,adshares,ADS,USD,available
REAL,real,REAL,USD,available
Ixcoin,ixcoin,IXC,USD,available
ZrCoin,zrcoin,ZRC,USD,available
Carboncoin,carboncoin,CARBON,USD,available
The ChampCoin,the-champcoin,TCC,USD,available
GPU Coin,gpu-coin,GPU,USD,available
Dragon Coins,dragon-coins,DRG,USD,available
GlobalBoost-Y,globalboost-y,BSTY,USD,available
Etherparty,etherparty,FUEL,USD,available
Bitcoin Plus,bitcoin-plus,XBC,USD,available
Pakcoin,pakcoin,PAK,USD,available
DomRaider,domraider,DRT,USD,available
Trollcoin,trollcoin,TROLL,USD,available
Freicoin,freicoin,FRC,USD,available
Pandacoin,pandacoin-pnd,PND,USD,available
adToken,adtoken,ADT,USD,available
Boolberry,boolberry,BBR,USD,available
Flixxo,flixxo,FLIXX,USD,available
DECENT,decent,DCT,USD,available
Brickblock,brickblock,BBK,USD,available
Playkey,playkey,PKT,USD,available
Cosmo Coin,cosmo-coin,COSM,USD,available
LanaCoin,lanacoin,LANA,USD,available
IXT,ixledger,IXT,USD,available
Bitcoin Atom,bitcoin-atom,BCA,USD,available
ShipChain,shipchain,SHIP,USD,available
EuropeCoin,europecoin,ERC,USD,available
Stox,stox,STX,USD,available
Bounty0x,bounty0x,BNTY,USD,available
Scry.info,scryinfo,DDD,USD,available
TokenPay,tokenpay,TPAY,USD,available
Neurotoken,neurotoken,NTK,USD,available
DDKoin,ddkoin,DDK,USD,available
SIBCoin,sibcoin,SIB,USD,available
FuzeX,fuzex,FXT,USD,available
DubaiCoin,dubaicoin-dbix,DBIX,USD,available
Electrify.Asia,electrifyasia,ELEC,USD,available
HitCoin,hitcoin,HTC,USD,available
Bezant,bezant,BZNT,USD,available
Delphy,delphy,DPY,USD,available
ExclusiveCoin,exclusivecoin,EXCL,USD,available
Orbitcoin,orbitcoin,ORB,USD,available
Ink,ink,INK,USD,available
Indorse Token,indorse-token,IND,USD,available
Ormeus Coin,ormeus-coin,ORMEUS,USD,available
Shorty,shorty,SHORTY,USD,available
Edgeless,edgeless,EDG,USD,available
Zeusshield,zeusshield,ZSC,USD,available
Winco,winco,WCO,USD,available
Hiveterminal Token,hiveterminal-token,HVN,USD,available
Hexx,hexx,HXX,USD,available
Blockmason Credit Protocol,blockmason,BCPT,USD,available
Colossuscoin V2,colossuscoin-v2,CV2,USD,available
Chronobank,chronobank,TIME,USD,available
Trinity Network Credit,trinity-network-credit,TNC,USD,available
BitDegree,bitdegree,BDG,USD,available
Bezop,bezop,BEZ,USD,available
Rentberry,rentberry,BERRY,USD,available
EventChain,eventchain,EVC,USD,available
MetalCoin,metalcoin,METAL,USD,available
Hacken,hacken,HKN,USD,available
Ecobit,ecobit,ECOB,USD,available
FlypMe,flypme,FYP,USD,available
Lendingblock,lendingblock,LND,USD,available
Bullion,bullion,CBX,USD,available
Friendz,friends,FDZ,USD,available
Sakura Bloom,sakura-bloom,SKB,USD,available
GoldMint,goldmint,MNTP,USD,available
Blue Protocol,ethereum-blue,BLUE,USD,available
MEXC Token,mexc-token,MEXC,USD,available
ATMChain,attention-token-of-media,ATM,USD,available
Internet of People,internet-of-people,IOP,USD,available
Po.et,poet,POE,USD,available
BZEdge,bzedge,BZE,USD,available
X8X Token,x8x-token,X8X,USD,available
HelloGold,hellogold,HGT,USD,available
HeroNode,heronode,HER,USD,available
Pesetacoin,pesetacoin,PTC,USD,available
Zennies,zennies,ZENI,USD,available
Ryo Currency,ryo-currency,RYO,USD,available
AudioCoin,audiocoin,ADC,USD,available
Merebel,merebel,MERI,USD,available
Blocktix,blocktix,TIX,USD,available
Primalbase Token,primalbase,PBT,USD,available
MintMe.com Coin,mintme-com-coin,MINTME,USD,available
Scorum Coins,scorum-coins,SCR,USD,available
ChessCoin,chesscoin,CHESS,USD,available
Dropil,dropil,DROP,USD,available
MyBit,mybit,MYB,USD,available
Deutsche eMark,deutsche-emark,DEM,USD,available
Maxcoin,maxcoin,MAX,USD,available
CoinJanitor,coin-janitor,JAN,USD,available
BUZZCoin,buzzcoin,BUZZ,USD,available
Ethereum Meta,ethereum-meta,ETHM,USD,available
DreamTeam Token,dreamteam-token,DREAM,USD,available
Zeepin,zeepin,ZPT,USD,available
Qbao,qbao,QBT,USD,available
Innova,innova,INN,USD,available
Shadow Token,shadow-token,SHDW,USD,available
GoNetwork,gonetwork,GOT,USD,available
ShadowCash,shadowcash,SDC,USD,available
Neutron,neutron,NTRN,USD,available
Startcoin,startcoin,START,USD,available
Synergy,synergy,SNRG,USD,available
Opus,opus,OPT,USD,available
